Image,Blue Mean,Green Mean,Red Mean
aigle.jpg,62,70,77
aigle2.jpg,123,134,140
aigle2_1.jpg,123,134,140
ara.jpg,163,186,164
ara1.jpg,31,87,76
ara2.jpg,33,68,69
beau.jpg,80,99,88
beau2.jpg,120,168,169
beau3.jpg,102,135,119
beau4.jpg,157,154,152
beau5.jpg,110,123,117
beau6.jpg,62,105,81
bergeronette.jpg,42,105,86
bouvreuil.jpg,71,118,125
buteogallus.JPG,143,167,173
cacatoes.jpg,151,127,98
cacatoes2.jpg,172,169,167
charboniere.jpg,82,113,110
chardonneret.png,74,78,91
cheveche.jpg,83,141,184
chouette.jpg,96,133,145
colibri.jpg,54,79,79
colvert.jpg,157,124,96
cormoran.jpg,57,96,92
dindon.jpg,57,86,91
faucon.jpg,75,114,125
faucon2.jpg,53,100,103
flamand.jpg,159,153,212
fourmilier.jpg,24,47,54
goeland.jpg,101,105,104
heroncendre.jpg,106,127,101
jaune.jpg,59,92,99
macareux.jpg,43,94,92
martin.jpg,47,87,60
martinpecheur3.jpg,143,145,151
martin_pecheur.jpg,89,101,111
martin_pecheur2.jpg,70,145,119
mer.jpg,49,66,62
merle.jpg,54,99,128
merle2.jpg,96,115,92
mesange.jpg,93,160,142
mesange2.jpg,151,173,182
moineau.jpg,225,231,235
moineau2.jpg,128,129,118
moineau3.jpg,125,128,139
mouette.jpg,134,133,129
noddi.jpg,174,138,63
ocean.jpg,127,105,82
oiseau marin.jpg,163,136,111
oiseau.jpg,89,86,165
oiseau3.jpg,97,114,130
oiseau4.jpg,95,151,120
oriole.jpg,58,105,107
paon.jpg,102,125,107
perruche.jpg,67,81,82
picvert.jpg,125,143,147
pigeon.jpg,106,103,99
pingouin.jpg,111,115,118
pouleeau.jpg,116,151,116
rale deau.jpg,170,180,180
ramier.jpg,105,125,135
republicain.jpg,158,131,101
rouge gorge.jpg,129,174,172
rougegorge2.jpg,108,136,148
takahe.jpg,96,135,121
titanvorombe.jpg,137,165,190
toucan.jpg,50,80,70
verdier.jpg,52,122,127
